"ID","text","sensibile"
"Racism037","It is people like you in the media that caused the people of the western countries to be ignorant They are blinded by thier own media You can hate and dislike China but at least stay with the facts",0
"Racism038","Said the same thing but niggas ran the white boy instead lmaooo we tanking  ",0
"Racism039","I didn’t expect much from a system that is designed to fail black people. I didn’t expect much from a system where a sicko can touch kids and only gets a couple years (if that), probation and put on a list.",0
"Racism040","If someone says, ""I hate black people"", it's ok to call them racist.
If someone says, ""I hate Lebron, he is a dickhead"", that does NOT mean that person is racist.
How hard is that to understand?",0
"Racism041","Y’all Niggas About To Be On Super Dickhead Missions On The 21st!",1
"Racism042","flrs Cracker is now a name that black people use to discriminate against white people Dose it matter who invented a word Like come on 😂 it matters how its used now And black people use in the same way white people use the N word But you ll don t want to ",0
"Racism043","people literally think anti black is a word they can throw around god i hate it here",0
"Racism044","Fuck you China and your Chinese virus 😡 Rest in peace Pickup man 🙏🙏",1
"Racism045","And the fact that he’s not even a Korean like bruh can you change your name IT’S SO ANNOYING 💀",0
"Racism046","I hate niggas that sit up and tweet allDay like a lil bitch , boy stfu 😂",1
"Racism047","Readers in at least five countries saw (false) claims the Chinese government requested authorization to kill 20,000 people infected with coronavirus  , ",0
"Racism048","Typical ultra far right hate for America s first African American two term president Simply Racism nothing more nothing less And sick to the gills over History making Vice president elect Kamala Harris",1
"Racism049","This #HumanRightsDay we continue to remember the ongoing plight of our brothers and sisters around the globe because of anti-blackness. We continue to push forward for a world where Black people can live free from discrimination and injustice.
#blackfutur",0
"Racism050","No your evil killer of communist China is to blame dickhead Your government is the worst for human atrocities Your government killed your own people Your government created the Chinese virus",1
"Racism051","It is deemed ignorant and racist to talk of White Africans as Europeans Secondly the indigenous people of South Africa are the Khoisan If you are of another heritage find out where you came from and do what you telling others to do",0
"Racism052","ANTHONY Boy white ppl just seem to wake up angry yal wanna be at war SO bad 🥴",1
"Racism053","STOP FUCKING USING  BLACK PEOPLE FOR YOUR SHITTY EDGY JOKES U SICK RAT! BLACK PEOPLE ARE DYING EVERY FUCKING DAY AND YOU THOUGHT IT WAS FUNNY TO JOKE ABOUT IT AND COMPARE HIM TO YOUR WHITE FAV. GROW UP U SICK PIECE OF SHIT! , ",0
"Racism054","f*ck u, u freak black people",1
"Racism055","Need a real freak nigga for the homie OG.",1
"Racism056","45 continuously calls this the “Chinese Virus.” It’s leading to Asian Americans all over the US to be targeted. Racism is at it’s peak because of this POS. Meanwhile the #MAGA crowd has no idea where their stupid red hats are made.  Look at the tag. The i",0
"Racism057","Philip As you mentioned it started to kill people and noticed by Chinese doctors and governors in China but as the birthplace of virus is not confirmed in China Blame can only kill economy can’t kill virus What we may get clearly is that virus can host in",0
"Racism058","T swift bouta come out and say that being against the coronavirus is racist against the Chinese so some shit",0
"Racism059","people literally think anti black is a word they can throw around god i hate it here",0
"Racism060","italian dudes be mad annoying lmfaooo. mad money in the club just hella annoying",1
"Racism061","45 continuously calls this the “Chinese Virus.” It’s leading to Asian Americans all over the US to be targeted. Racism is at it’s peak because of this POS. Meanwhile the #MAGA crowd has no idea where their stupid red hats are made.  Look at the tag. The i",0
"Racism062","Planner Bro every hispanic person I know says the n word bro😭😭 I’m pretty sure majority of people don’t care as long as he’s not white but tbh I’ve seen white people with a bigger problem about it than black people it’s understandable but at the same ti",0
"Racism063","i don't want my son to turn out like me but the opposite of me is an afro punk nigga , ",1
"Racism064","The rest of North Africa is Russian and khalijy is less annoying American accent",1
"Racism065","For anyone who’s wondering since I seem to be the only one on Twitter who’s constantly asked if I’m black...yes I am BLACK. My dad is AFRO-LATINO AND MY MOM IS A DARKSIN AFRICAN-AMERICAN WOMAN. STOP ASSUMING IM NOT BLACK ITS SO ANNOYING AND THEN SOME OF Y",0
"Racism066","niggas that “preach”for females be the same niggas doing the shit we dislike 😂",1
"Racism067","Amazing So much love To a Hindu girl And you really hate Hindus But you all love Hindu girls What irony",0
"Racism068","😳😄 I m not a massive fan of brewdog but there are about 4 or 5 that are crackers and this sneaky bastard is one🙂",1
"Racism069","There’s no going back to normal in America. We will be fighting this ignorant, pig shit, white trash hate movement the rest of our lives. The sooner they’re all in prison, the better.",1
"Racism070","cogley Yea he actually thought we could stand up to china and globalists What a tool",0
"Racism071","I. HATE. CHINA. SUBJECT.",1
"Racism072","50 million This white boy movin dope along wit his weak ass YouTube channel",1
"Racism073","That nigga Timbaland said ""Ritz is the crackers that I eat."" on a dope ass beat. Smh",1
"Racism074","I read that twice fixed the grammar in my head then totally dismissed this amount of nonsensical tripe If you see African American athletes use their platform to shine a light on systemic discrimination and it offends you that s on you They were black bef",0
"Racism075","i really do hope an Asian person whoops yall asses for these corona virus jokes , ",0
"Racism076","Luigi The fact that u said both Japanese and Chinese look the same is ignorant and is enough for me to assume u know nothing about both languages so what makes u think I assumed u knew Also if u don t know then don t make claims that make u look dumb",0
"Racism077","and another thing- if you think making fun of black people/poc who have been murdered by police is “dark humor” pls re evaluate yourself because that’s disgusting and you’re just an asshole",0
"Racism078","Just like the “you talk like a white boy” and it’s like “mmm nah, my parents just taught me the English language the correct way” lol fuckin dweeb.",1
"Racism079","I’m in a really weird spot I’m Chinese American I’m literally the two things they hate the most Luckily I’m used to discrimination so there’s that",0
"Racism080","I hate a nigga that be tryna fuck up they ex or female they used ta fw relationship like bx gtfo witcho life stupid ass bx😑.",1
"Racism081","I’m weary of stories how people managed to be targeted by one race of kids but accepted by another Yeah there were black kids that thought I was awkward trash but too many white kids also thought this to start thinking them as some kind of refuge I was un",0
"Racism082","Fucking chinese bot They eat shit LMAO",1
"Racism083","i feel like the coronavirus has basically given people an excuse to be racist towards chinese people  the prc's government sucks but the government ain't the same as the people",0
"Racism084","Humans and negroes use restaurants in entirely different ways.",1
"Racism085","white trash pig，XD",1
"Racism086","this why i stop using this shite site white people there are fcking disgusting and racist they will call chingchong, china boy, lingling etch. and i record some of them too anywazy learn to wash yo a$$ first pls and stop being ignorant mayo monkeys , ",0
"Racism087","This is such an important point and the first time I’ve seen it raised. I hate that we are grouped the same in stats bc of this reason. They are not addressing real issues brought up to address African American students, only masking them with inaccurate ",0
"Racism088","I absolutely cannot stand when I hear “it’s the Chinese virus” you iggnorant fucks",0
"Racism089","and that is why you hate black people",1
"Racism090","Better than negroes are so annoying leave",1
"Racism091","Did you thank them for the virus too? Without the Chinese, you wouldn’t need more ventilators. Was there Shmoozy ass kissing?",1
"Racism092","Hey, I don’t know who needs to hear this but making a globally dangerous virus into an anime girl and giving her a traditional Chinese outfit is completely racist and also inconsiderate! Keep Corona-Chan off my fucking timeline, it’s horrible and I will b",1
"Racism093","I HATE VENDORS AND THE FACT THAT THEYRE WAY IN CHINA LMAO I WANNA FIGHT HIM , ",0
"Racism094","Anybody who says Suarez was speaking his own language too is either purposefully ignorant or genuinely retarded Cavani said the word to a friend and in his native tongue it can mean friend Suarez said the same word in an derogatory manner to a black man t",0
"Racism095","IM SO TIRED OF THE BLATANT RACISM BRUH UR CORONAVIRUS JOKES ARENT FUNNY UR BLTANT RACISM TOWARDS ASIAN PEOPLE OR CHINESE RESTAURANTS ARENT FUNNT SHUT THE FUCK UP",0
"Racism096","What a fucking scum I m Indian as well if you didn t know btw What s wrong with Chelsea fans honestly So what if people are indian does that make you superior fuck off honestly i feel u bro",0
"Racism097","On a real note nigga go touch some grass fucking weirdo 😂",1
"Racism098","Yall Hate white people yet couldn't support a korean song on the charts 😳😳😳😳",1
"Racism099","I'm sorry but these white boy youtubers are so fucking annoying how do y'all enjoy them",1
"Racism100","Always so annoying like nigga I literally starved myself for you 😭 so inconsiderate , ",1
"Racism101","crackers in general should stop speaking bc they’re annoying and their opinions are trash. not white people, crackers. ppl who think that you can be racist to white people, the mayo monkeys, them.",1
"Racism102","Dude fuck the Chinese man fuck em and if you think what I’m saying is wrong or rude you’re the problem",1
"Racism103","Yoooooo
Black people are so freaking Dope
Y’all see moves we make, the record we break, the narratives we create?!??
A’int nobody like us Mayne!! , ",1
"Racism104","Notice the GOP's latest white nationalism push, to call Covid-19 'the Chinese coronavirus'. Tucker Carlson and their state media also pushing it hard.  Very obvious. Very racist.   , ",0
"Racism105","I really appreciate your sacking of that Hindu hating scum Yograj",1
"Racism106","What a f****** white boy punk ass b**** boy pig f****** white boy",1
"Racism107","These Japanese are so dope !",1
"Racism108","Most annoying part is that when the nationals of the above mentioned countries come here the Africans are the ones who still struggle to blend with them instead of the foreigner.
The level inferiority complex that still exist in Africa is baffling.",0
"Racism109","What the fuck is wrong with Bihar and Biharis.  They are the scummiest of the North India scum.
And that’s say a lot! Looking at you - Uttar Pradesh
—-
Bihar man allows friends to gangrape wife after losing in gambling, pours acid on her",1
"Racism110","who hate niggers tooo???",1
"Racism111","As a white person mostly surrounded only by white ppl, I think I hadn't realized til lately how annoying it must be when we expect things to be explained to us nicely all the time. It must be exhausting and we honestly don't deserve it. , ",0
"Racism112","Being Native American that’s pretty dope",1
"Racism113","I hate when African American males call their boss, boss man. Like addressing him like that ain’t IT! 🙄",1
"Racism114","some of yall niggas took the anti simp shit too far now look at you you fucking dweeb",1
"Racism115","True👍🏻 that s why I generally dislike Conservatives Poor White Boy got called potato head a thing some POC say to white people here in germany Racism against white people just doesnt exist and if you offended by that word guess who is the snowflake huh",0
"Racism116","Right Notice it’s only white racist trash that list these states What their really saying is they hate ppl of color compassionate ppl creative ppl Truth is the RED states are so goddamn backwards their broke & most depend on coastal states for welfare",0
"Racism117","Another bugger issue-racism against asians is so normalized and engrained into our society its j sad. The amt of times I've been made fun of for my eyes, called lingling, chink, 'ching chong' , told to ""go back to my fishing village"" is insane. Y'all made",0
"Racism118","If this annoying chinese bitch could just shut up... 🤦‍♂️🤦‍♂️",1
"Racism119","The system from its roots hates Black lives. Fuck this system and weirdo ass people supporting a system that seeks to murder. , ",0
"Racism120","You fucking racist ass Its not the Chinese Coronavirus its just the coronavirus",0
"Racism121","Donna But in this particular case white supremacist Proud Boy scum says he was invited Trump s spokesperson says he wasn t Since they are opposite stances only one can be false Since he visited last minute being invited was the only way he could have gott",1
"Racism122","Horrific, flights are still allowed in major airports. Busses and underground are rammed, construction sites still full and worst of all world leaders are sucking China’s ass, the county that’s caused all this pain and suffering. #fuckchina",1
"Racism123","Austin Studies have documented patterns of racial discrimination as well as patterns of police brutality and disregard for the constitutional rights of African Americans by police departments in various American cities You saying otherwise is a perfect ex",0
"Racism124","I hope nobody actually needs to be told this, but: odds of someone catching the coronavirus from American/Canadian Chinese restaurants are about as slim as catching it from literally anyone else here. The idea that people should avoid them is not only unf",0
"Racism125","I AM INVINCABLE FOR I RESEARCH AND KNOW FOR A FACT THIS IS AN ENGINEERED CRISIS TO DISCREDIT CHINA ALL BECAUSE AMERICUNT TRIED TO FUCK THEM OVER WITH A 25 TARIFF AND CHINA EMPHATICALLY SAID NO THATS WHAT THIS VIRUS IS ALL ABOUT BUT THE CHINESE WROTE THIS ",0
"Racism126","crackers in general should stop speaking bc they’re annoying and their opinions are trash. not white people, crackers. ppl who think that you can be racist to white people, the mayo monkeys, them.",1
"Racism127","I literally told a black customer to shut the fuck up because he started saying something ignorant after I told someone that they need a mask talking about it’s 2020 you need to ride for your color like nigga I hate niggas that have not dam since",1
"Racism128","I never said you were stupid 😉 agree on the cracker front 😜 but definitely a weirdo 🤪 and wouldn’t want it any other way",0
"Racism129","Weirdo ass niggas 😭🤷🏻‍♂️",1
"Racism130","Niggas annoying dawg 😂",1
"Racism131","Someone on my snap, in room of like four dudes, I hear someone say nigga, not near nigga in sight, then they make that wack ass chainsaw nigga joke and white boy is cracking up. Yeah i reported the bastard",0
"Racism132","i feel like the coronavirus has basically given people an excuse to be racist towards chinese people  the prc's government sucks but the government ain't the same as the people",0
"Racism133","He didn t start a race war Racist hated to see a black man achieve something If anything it rallied racist to have a single target to hate And your daddy trimp doesn t help the race relations at all",0
"Racism134","Maybe some dirty scrubs would suit you better Why is your white trash comment not hate speech",1
"Racism135","02 They’re a bunch of delusional white trash rats who hate women so of course they’re going to call Taylor a bully when their racist rat idol came at her first",1
"Racism136","i hate that all korean honorifics are gendered",0
"Racism137","Nigga make my chest hurt 😂😂",1
"Racism138","white people being racist to Asians for the coronavirus, and white people being racist to Native Americans for the railroad protest.  Pathetic, seriously.   “Canada sucks”",0
"Racism139","I couldn t care less about race Black White yellow Red We re all shades of Green I despise SJW s and all identity politics I wouldn t care if he was an Afrikaans Asian Swahili Native American Jewish Eskimo as long as he had good character moral decency bu",0
"Racism140","This whole “cancel culture” is getting annoying. Literally nobody from Native American nations care...this has been quoted multiple times. The only people who care are people who find joy in ruining things for others. , ",0
"Racism141","tw // shootings, death
Casey Goodson. Another innocent African American lost in the hands of hate. Say his name. This is not a time to stay silent. I will be linking information abt his death as well as petitions and donation links. Please do everything y",0
"Racism142","Freak ass nigga , ",1
"Racism143","tired of these crackers yall are annoying as hell , ",1
"Racism144","I’m still amazed by dis coronavirus shit they done created out there in China got da whole fkin world spooked including me lol.",1
"Racism145","Just because you don’t take offence doesn’t mean you should tell@others not to The fact is you’ll never understand the kind of discrimination that black people endure and you’re showing that you don’t empathise either",0
"Racism146","White bitches with 2 seconds of African-American in them are the most annoying, cringe people out there. Please shut the fuck up we do not care that your great great great great great grandfather was half black.",1
"Racism147","I really don’t understand how a Latinx person and a African American or anybody of color can be racist towards each other. Hate really is just imbedded in all of us. Imagine it, we’re already hated by the people who run the world (yt people) why the hell ",0
"Racism148","Want attention Nah I’m just trying to set the record straight and get this white trash scum to Understand that he’s nothing but that Anyway I’m probably talking to a 12 year old right now so I wouldn’t expect you to understand",1
"Racism149","idgaf about a millionaires feelings when black people are being murdered.",0
"Racism150","I don't watch any movie that is made for blacks or has a black in the lead roll and I can't find humor in the black race with all of the crime they comit against the white man",1
"Racism151","lmfaooooooooo niggas are annoying 😭",1
"Racism152","and that is why you hate black people",1
"Racism153","nixon123 But it is about race White people get executed because they’re scum only after evidence proves when black people don’t have that luxury Take it a step further and see how many times white people are allowed back into society before the death pena",0
"Racism154","This lady is a pig.  White Trash..... , ",1
"Racism155","I can’t do no dirt with u niggas u can’t wait to rat",1
"Racism156","I do realize that and I also realize that the term chink was founded in an offensive derivative as well Nigger is no worse than chink Both discriminate a race for no other reason than you guessed it being racist",0
"Racism157","Started with Ebonics language and 50s style which was actually from the 70s with anti-racism message. FUCKING BRILLIANT.
, ",0
"Racism158","the Wuhan wet markets have reopened ..  AND NOT A SINGLE FUCKING LESSON WAS LEARNT.  #ChineseVirus",1
"Racism159","Does he honestly think he won states because he was in the lead temporarily? Or is he trying to suck every dollar out of his dumbass cracker base while he can? Moron or dickhead, you decide!",1
"Racism160","Niggas so ignorant they’ll kill you over last place.",1
"Racism161","So you re just another bigoted ignorant piece of white trash How many of “those people” have you actually met I find it interesting when people generalize entire states as “racist” and “white trash” especially when they have never set foot in any of them ",1
"Racism162","This is Japanese 😂 bt Dope shope",1
"Racism163","aray You r absolutely correct one support their own country Being chinese you will support china But everyone knows the fact that chinesevirus is originated from china and its labmade to kill other countries ChineseBioterrorism",1
"Racism164","Let's be real... African names are NOT hard to pronounce. Y'all just too ignorant to take the time to realize they sound almost exactly how they look and are way less phonetically lazy than American enunciations.",0
"Racism165","ugh!!! i hate white ppl...especially when they are drunk...its always some racist shit wit me and them every encounter!!!!",1
"Racism166","Does he honestly think he won states because he was in the lead temporarily? Or is he trying to suck every dollar out of his dumbass cracker base while he can? Moron or dickhead, you decide!",1
"Racism167","Dust6 Uno The thing you re doing is called being ignorant Just because I m an African American who actually don t scream about everything a white people do that has remotely something to do with our culture as racist doesn t make me a coon Just wanted to ",0
"Racism168","i hate the term karen... and how it’s replaced “racist white trash women” and made their racism into something to laugh and joke on. “karen” doesn’t exactly hit the same as “racist white bitch” lol",0
"Racism169","Fr i hate a boring nigga😆.. Always serious n shit , ",1
"Racism170","These are AmericanPatriots who died protecting the constitution not a racist asshole Newt who calls a thief for registering African American voters was a draft dodger too who can’t fathom men and women in the photo",0
"Racism171","plus cracker means multiple things💀 the n word is literally ONLY to discriminate",0
"Racism172","Thanos was really pullin up to niggas planets, knocked off half the population, then sped off... what a dickhead 😂😂😂",0
"Racism173","Maybe some dirty scrubs would suit you better Why is your white trash comment not hate speech",1
"Racism174","Lol it may be her voice and the Afro has to go but she has been growing on me I think I respect her tho She’s not in Kamaru usman annoying level tho",0
"Racism175","America was born out of the genocide of Native Americans Racism and hatred of the other is sadly thoroughly American Trump isn t an anomaly",0
"Racism176","Amb India we will take each Chinese down to their grave This is a science report of how Chinese fight virus and u want 2 kill all Chinese？ur air force takes a decade 2 build LCA fighter jet WHAT A POOR COUNTRY🐶 Seriously Indian will end anytime when CCP ",1
"Racism177","kook he did nothing wrong because negative appropriation occurs only if the representatives of the dominant culture borrow some elements from the oppressed one when did chinese become the dominant culture",0
"Racism178","I understand. I know, I grew up with racism, example: when my sister and I were younger a white boy followed us home every day, one day he pulled his pants and there it was full frontal. Disrespect and ignorant because their parents teach to be that way. ",1
"Racism179","It’s nothing funny about a man lying to get you alone to pressure you into sex what the Fuck be wrong with the rapey ass niggas on this app and in real life. Y’all are the scum of earth like no cap",1
"Racism180","HOLD CHINA ACCOUNTABLE If China fired Nukes USA killing 100K to 240K US we would have WW3 So they sent us coronavirus killing 100K to 240K US Sounds like World War Three to me CCPVirus CCP HoldChinaAccountable",1
"Racism181","This lady is a pig.  White Trash..... , ",1
"Racism182","Weirdo ass niggas 😭🤷🏻‍♂️",1
"Racism183","This nigga just called a black Japanese girl “african American”, but says theirs no racism or discrimination in Japan because
I am so over Asian people at this point. , ",1
"Racism184","I hate ignorant ass niggas",1
"Racism185","Go to bed you Limey bastard 🤣🤣",1
"Racism186","i rly need to stop being mean to these niggas but damn they so. fucking. annoying. , ",1
"Racism187","Someone tell this hillbilly what a burger is. Haha another dude raised outside of nYc",1
"Racism188","Take your fuckin hick freak cult back into the back water hollar fuckin mutant hills have eyes mongoloids",1
"Racism189","Joe Biden is one of the most bigoted men in American politics His crime billed countless black men with zero regard for the truth Shame on you another racists liberal",0
"Racism190","Don't think everyone hate you,
You are not ""korean baccho wale memes""",1
"Racism191","when i’m literally asian but i have to tell everyone i’m not chinese and that japanese and chinese aren’t the same. y’all annoying asf",0
"Racism192","stop coming for these niggas like you ain’t got some deadbeat MOTHERS out here too 😅🧏🏾‍♀️",1
"Racism193","I AM INVINCABLE FOR I RESEARCH AND KNOW FOR A FACT THIS IS AN ENGINEERED CRISIS TO DISCREDIT CHINA ALL BECAUSE AMERICUNT TRIED TO FUCK THEM OVER WITH A 25 TARIFF AND CHINA EMPHATICALLY SAID NO THATS WHAT THIS VIRUS IS ALL ABOUT BUT THE CHINESE WROTE THIS ",0
"Racism194","Chinese people in China have been eating everything that moves for centuries and all of a sudden in 2019 there’s a virus that is supposedly killing people No The flu killed 80 000 people in 2017 Where was the pandemic then",0
"Racism195","I hate these Chinese venders😭😭 , ",1
"Racism196","STOP CALLING COVID-19 THE “CHINESE VIRUS” THE FUCKS WRONG WIT YA",0
"Racism197","Not a teacher asking should genders be treated equally and negros in my class shouting no.
I'm studying with weirdos omg",1
"Racism198","I don’t tweet much for the humor But yes A racist Hispanic Native American Jew😭u hate to see it don’t you God I’m so racist that I don’t even eat saltine crackers Yes yes very racist",1
"Racism199","offcourse there is discrimination but less compared to Hindu society , ",0
"Racism200","What gets me is the comment on the original post by ashy ignorant negroes or people who are hiding behind someone else’s picture I can’t People are forever obsessed with how others see them",1
